Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status
0003-MKNFE,Male,46.0,No,0.0,Glendale,91206.0,0.0,9.0,None,Yes,10.69,Yes,Yes,Cable,10.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-4.0,542.4,38.33,10.0,96.21,610.28,0.0
0004-TLHLJ,Male,50.0,No,0.0,Costa Mesa,92627.0,0.0,4.0,Offer E,Yes,33.65,No,Yes,Fiber Optic,30.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,0.0,0.0,134.6,415.45,1.0
0011-IGKFF,Male,78.0,Yes,0.0,Martinez,94553.0,1.0,13.0,Offer D,Yes,27.82,No,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1237.85,0.0,0.0,361.66,1599.51,1.0
0013-MHZWF,Female,23.0,No,3.0,Midpines,95345.0,0.0,9.0,Offer E,Yes,16.77,No,Yes,Cable,73.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,571.45,0.0,0.0,150.93,722.38,0.0
0013-SMEOE,Female,67.0,Yes,0.0,Lompoc,93437.0,1.0,71.0,Offer A,Yes,9.96,No,Yes,Fiber Optic,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,7904.25,0.0,0.0,707.16,8611.41,0.0
0014-BMAQU,Male,52.0,Yes,0.0,Napa,94558.0,8.0,63.0,Offer B,Yes,12.96,Yes,Yes,Fiber Optic,7.0,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,5377.8,0.0,20.0,816.48,6214.28,0.0
0015-UOCOJ,Female,68.0,No,0.0,Simi Valley,93063.0,0.0,7.0,Offer E,Yes,10.53,No,Yes,DSL,21.0,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,340.35,0.0,0.0,73.71,414.06,0.0
0016-QLJIS,Female,43.0,Yes,1.0,Sheridan,95681.0,3.0,65.0,None,Yes,28.46,Yes,Yes,Cable,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,5957.9,0.0,0.0,1849.9,7807.8,0.0
0017-DINOC,Male,47.0,No,0.0,Rancho Santa Fe,92091.0,0.0,54.0,None,No,0.0,No,Yes,Cable,10.0,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,0.0,0.0,0.0,2460.55,0.0
0018-NYROU,Female,58.0,Yes,0.0,Antelope,95843.0,0.0,5.0,None,Yes,18.65,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,0.0,0.0,93.25,444.75,0.0
0019-GFNTW,Female,39.0,No,0.0,Los Olivos,93441.0,0.0,56.0,None,No,0.0,No,Yes,DSL,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,0.0,0.0,0.0,2560.1,0.0
0020-JDNXP,Female,52.0,Yes,1.0,Point Reyes Station,94956.0,0.0,34.0,None,No,0.0,No,Yes,DSL,20.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0.0,0.0,0.0,1993.2,0.0
0022-TCJCI,Male,79.0,No,0.0,Daly City,94015.0,0.0,45.0,None,Yes,10.67,No,Yes,DSL,17.0,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0.0,0.0,480.15,3271.65,1.0
0023-HGHWL,Male,67.0,No,0.0,Morgan Hill,95037.0,0.0,1.0,None,No,0.0,No,Yes,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0.0,0.0,0.0,25.1,1.0
0031-PVLZI,Female,34.0,Yes,0.0,Korbel,95550.0,0.0,4.0,Offer E,Yes,12.43,No,No,No,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.35,76.35,0.0,0.0,49.72,126.07,1.0
0032-PGELS,Female,37.0,Yes,1.0,Palomar Mountain,92060.0,1.0,1.0,None,No,0.0,No,Yes,DSL,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0.0,0.0,0.0,30.5,1.0
0040-HALCW,Male,42.0,Yes,3.0,Modesto,95358.0,3.0,54.0,None,Yes,19.7,No,No,No,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.4,1090.6,0.0,0.0,1063.8,2154.4,0.0
0042-JVWOJ,Male,64.0,No,0.0,Glen Ellen,95442.0,0.0,26.0,Offer C,Yes,37.7,No,No,No,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.6,471.85,21.25,0.0,980.2,1430.8,0.0
0048-LUMLS,Male,23.0,Yes,3.0,Moss Beach,94038.0,1.0,37.0,Offer C,Yes,43.01,No,Yes,Fiber Optic,51.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0.0,0.0,1591.37,4838.92,0.0
0048-PIHNL,Female,48.0,Yes,0.0,Los Angeles,90058.0,5.0,49.0,Offer B,Yes,49.58,No,No,No,0.0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.45,900.9,0.0,0.0,2429.42,3330.32,0.0
0052-DCKON,Male,28.0,Yes,0.0,Los Angeles,90063.0,9.0,66.0,None,Yes,43.77,Yes,Yes,Fiber Optic,41.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2.0,7942.15,0.0,0.0,2888.82,10830.97,0.0
0052-YNYOT,Female,28.0,No,0.0,Calexico,92231.0,0.0,67.0,None,Yes,23.12,No,No,No,0.0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.55,1343.4,30.53,0.0,1549.04,2861.91,0.0
0056-EPFBG,Male,33.0,Yes,1.0,Redding,96003.0,4.0,20.0,None,No,0.0,No,Yes,Cable,22.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0.0,0.0,0.0,825.4,0.0
0057-QBUQH,Female,31.0,No,3.0,San Martin,95046.0,0.0,43.0,None,Yes,30.64,Yes,No,No,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25.1,1070.15,0.0,0.0,1317.52,2387.67,0.0
0060-FUALY,Female,60.0,Yes,0.0,Los Angeles,90003.0,4.0,59.0,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0.0,0.0,967.01,6564.66,0.0
0064-SUDOG,Female,48.0,Yes,3.0,Huntington Park,90255.0,3.0,12.0,None,Yes,19.28,No,No,No,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.3,224.5,0.0,0.0,231.36,455.86,0.0
0064-YIJGF,Male,60.0,Yes,3.0,Yermo,92398.0,7.0,27.0,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929.0,0.0,0.0,682.02,2611.02,0.0
0067-DKWBL,Male,69.0,No,0.0,San Diego,92129.0,0.0,2.0,None,Yes,43.99,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0.0,87.98,179.08,1.0
0068-FIGTF,Female,20.0,No,0.0,Fremont,94539.0,0.0,27.0,Offer C,Yes,48.91,No,Yes,DSL,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,0.0,0.0,1320.57,3399.52,0.0
0071-NDAFP,Male,31.0,Yes,3.0,Santa Rosa,95405.0,1.0,25.0,None,Yes,23.69,Yes,No,No,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.5,630.6,44.42,0.0,592.25,1178.43,0.0
0074-HDKDG,Male,46.0,Yes,0.0,San Jose,95126.0,5.0,25.0,None,Yes,6.45,No,Yes,Cable,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611.0,44.9,0.0,161.25,1727.35,0.0
0076-LVEPS,Male,57.0,No,1.0,Tujunga,91042.0,0.0,29.0,None,No,0.0,No,Yes,DSL,21.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.0,1242.45,12.26,0.0,0.0,1230.19,0.0
0078-XZMHT,Male,19.0,Yes,0.0,Visalia,93291.0,5.0,72.0,None,Yes,32.36,Yes,Yes,DSL,52.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,0.0,0.0,2329.92,8646.12,0.0
0080-OROZO,Female,38.0,No,0.0,El Portal,95318.0,0.0,35.0,Offer C,Yes,36.42,No,Yes,Fiber Optic,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532.0,0.0,0.0,1274.7,4806.7,0.0
0082-OQIQY,Male,50.0,No,0.0,Farmington,95230.0,0.0,29.0,None,Yes,2.05,No,Yes,Fiber Optic,17.0,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,0.0,20.0,59.45,2687.05,0.0
0083-PIVIK,Male,25.0,No,0.0,Tulelake,96134.0,0.0,64.0,None,Yes,5.49,Yes,Yes,DSL,69.0,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,0.0,40.0,351.36,5958.91,0.0
0089-IIQKO,Female,35.0,Yes,3.0,Coleville,96107.0,1.0,39.0,None,Yes,24.38,Yes,Yes,Fiber Optic,53.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,0.0,0.0,950.82,4718.22,0.0
0093-EXYQL,Female,72.0,No,0.0,Ojai,93023.0,0.0,40.0,None,Yes,44.14,No,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,0.0,0.0,1765.6,5439.2,0.0
0093-XWZFY,Male,51.0,No,0.0,Desert Hot Springs,92241.0,0.0,40.0,None,Yes,37.69,Yes,Yes,Fiber Optic,15.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,0.0,0.0,1507.6,5544.45,1.0
0094-OIFMO,Female,78.0,No,1.0,North Hollywood,91605.0,0.0,11.0,Offer D,Yes,11.59,No,Yes,Fiber Optic,29.0,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120.0,127.49,1367.79,1.0
0096-FCPUF,Male,58.0,No,0.0,Santa Rosa,95404.0,0.0,30.0,None,Yes,2.64,Yes,Yes,DSL,15.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,0.0,0.0,79.2,1967.65,0.0
